
S&P 500 Mini-SPX Options Index,Last: 439.91,Change:  0.65
"Date: 18 de abril de 2022, 12:48 GMT-4",Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Apr 18 2022,XSP220418C00389000,0,0,49.73,51.81,0,0,0.9996,0.0001,0,389.00,XSP220418P00389000,8.38,0,0,0.25,0,1.5148,-0.0004,0.0001,1
Mon Apr 18 2022,XSP220418C00390000,0,0,48.73,50.81,0,0,0.9996,0.0001,0,390.00,XSP220418P00390000,0.11,0,0,0.25,0,1.4856,-0.0004,0.0001,3
Mon Apr 18 2022,XSP220418C00391000,0,0,47.77,49.8,0,0,0.9996,0.0001,0,391.00,XSP220418P00391000,0,0,0,0.25,0,1.4564,-0.0004,0.0001,0
Mon Apr 18 2022,XSP220418C00392000,0,0,46.78,48.81,0,0,0.9996,0.0001,0,392.00,XSP220418P00392000,0,0,0,0.25,0,1.4273,-0.0004,0.0001,0
Mon Apr 18 2022,XSP220418C00393000,0,0,45.77,47.8,0,0,0.9995,0.0001,0,393.00,XSP220418P00393000,0.23,0,0,0.25,0,1.3982,-0.0005,0.0001,9
Mon Apr 18 2022,XSP220418C00394000,0,0,44.77,46.8,0,0,0.9995,0.0001,0,394.00,XSP220418P00394000,1.12,0,0,0.25,0,1.3692,-0.0005,0.0001,0
Mon Apr 18 2022,XSP220418C00395000,0,0,43.77,45.8,0,0,0.9995,0.0001,0,395.00,XSP220418P00395000,5.54,0,0,0.25,0,1.3401,-0.0005,0.0001,2
Mon Apr 18 2022,XSP220418C00396000,0,0,42.77,44.8,0,0,0.9995,0.0001,0,396.00,XSP220418P00396000,0.25,0,0,0.25,0,1.3111,-0.0005,0.0001,13
Mon Apr 18 2022,XSP220418C00397000,0,0,41.73,43.81,0,0,0.9995,0.0001,0,397.00,XSP220418P00397000,0,0,0,0.25,0,1.2822,-0.0005,0.0001,0
Mon Apr 18 2022,XSP220418C00398000,0,0,40.78,42.81,0,0,0.9994,0.0001,0,398.00,XSP220418P00398000,0.18,0,0,0.25,0,1.2532,-0.0006,0.0001,1
Mon Apr 18 2022,XSP220418C00399000,0,0,39.77,41.8,0,0,0.9994,0.0001,0,399.00,XSP220418P00399000,0,0,0,0.25,0,1.2243,-0.0006,0.0001,0
Mon Apr 18 2022,XSP220418C00400000,0,0,38.73,40.81,0,0,0.9994,0.0002,0,400.00,XSP220418P00400000,0.22,0,0,0.25,0,1.1954,-0.0006,0.0002,3
Mon Apr 18 2022,XSP220418C00401000,0,0,37.73,39.81,0,0,0.9994,0.0002,0,401.00,XSP220418P00401000,0.11,0,0,0.25,0,1.1666,-0.0006,0.0002,10
Mon Apr 18 2022,XSP220418C00402000,0,0,36.78,38.81,0,0,0.9994,0.0002,0,402.00,XSP220418P00402000,0.12,-0.015,0,0.25,5,1.1377,-0.0006,0.0002,13
Mon Apr 18 2022,XSP220418C00403000,0,0,35.77,37.8,0,0,0.9994,0.0002,0,403.00,XSP220418P00403000,0.02,0,0,0.25,0,1.1089,-0.0006,0.0002,16
Mon Apr 18 2022,XSP220418C00404000,0,0,34.73,36.81,0,0,0.9993,0.0002,0,404.00,XSP220418P00404000,0,0,0,0.25,0,1.0801,-0.0007,0.0002,0
Mon Apr 18 2022,XSP220418C00405000,0,0,33.78,35.81,0,0,0.9993,0.0002,0,405.00,XSP220418P00405000,7.65,0,0,0.25,0,1.0513,-0.0007,0.0002,3
Mon Apr 18 2022,XSP220418C00406000,0,0,32.78,34.81,0,0,0.9993,0.0002,0,406.00,XSP220418P00406000,0.07,0,0,0.25,0,1.0225,-0.0007,0.0002,5
Mon Apr 18 2022,XSP220418C00407000,0,0,31.82,33.86,0,0,0.9992,0.0002,0,407.00,XSP220418P00407000,0,0,0,0.25,0,0.9938,-0.0008,0.0002,0
Mon Apr 18 2022,XSP220418C00408000,0,0,30.73,32.81,0,0,0.9992,0.0003,0,408.00,XSP220418P00408000,0.02,0,0,0.25,0,0.965,-0.0008,0.0003,3
Mon Apr 18 2022,XSP220418C00409000,0,0,29.77,31.8,0,0,0.9992,0.0003,0,409.00,XSP220418P00409000,0,0,0,0.25,0,0.9363,-0.0008,0.0003,0
Mon Apr 18 2022,XSP220418C00410000,0,0,28.73,30.82,0,0,0.9991,0.0003,0,410.00,XSP220418P00410000,0.12,0,0,0.25,0,0.9075,-0.0009,0.0003,60
Mon Apr 18 2022,XSP220418C00411000,0,0,27.73,29.82,0,0,0.9991,0.0003,0,411.00,XSP220418P00411000,0,0,0,0.25,0,0.8788,-0.0009,0.0003,0
Mon Apr 18 2022,XSP220418C00412000,0,0,26.83,28.84,0,0,0.9991,0.0003,0,412.00,XSP220418P00412000,0.4,0,0,0.25,0,0.85,-0.0009,0.0003,6
Mon Apr 18 2022,XSP220418C00413000,0,0,25.77,27.81,0,0,0.999,0.0004,0,413.00,XSP220418P00413000,0.09,0,0,0.25,0,0.8213,-0.001,0.0004,17
Mon Apr 18 2022,XSP220418C00414000,0,0,24.77,26.81,0,0,0.999,0.0004,0,414.00,XSP220418P00414000,0.19,0,0,0.25,0,0.7925,-0.001,0.0004,2
Mon Apr 18 2022,XSP220418C00415000,0,0,23.77,25.81,0,0,0.9989,0.0004,0,415.00,XSP220418P00415000,6.62,0,0,0.25,0,0.7638,-0.0011,0.0004,2
Mon Apr 18 2022,XSP220418C00416000,0,0,22.73,24.82,0,0,0.9989,0.0005,0,416.00,XSP220418P00416000,0.14,0,0,0.25,0,0.735,-0.0011,0.0005,2
Mon Apr 18 2022,XSP220418C00417000,0,0,21.77,23.81,0,0,0.9988,0.0005,0,417.00,XSP220418P00417000,0.51,0,0,0.25,0,0.7062,-0.0012,0.0005,18
Mon Apr 18 2022,XSP220418C00418000,0,0,20.77,22.81,0,0,0.9988,0.0006,0,418.00,XSP220418P00418000,4.02,0,0,0.25,0,0.6773,-0.0012,0.0006,1
Mon Apr 18 2022,XSP220418C00419000,0,0,19.77,21.81,0,0,0.9987,0.0006,0,419.00,XSP220418P00419000,3.73,0,0,0.25,0,0.6943,-0.0013,0.0006,443
Mon Apr 18 2022,XSP220418C00420000,0,0,18.77,20.81,0,0,0.9986,0.0007,0,420.00,XSP220418P00420000,0.04,0,0,0.25,0,0.6637,-0.0014,0.0007,22
Mon Apr 18 2022,XSP220418C00421000,0,0,17.73,19.82,0,0,0.9985,0.0007,0,421.00,XSP220418P00421000,0.04,0,0,0.25,0,0.633,-0.0015,0.0007,4
Mon Apr 18 2022,XSP220418C00422000,0,0,16.77,18.8,0,0,0.9984,0.0008,0,422.00,XSP220418P00422000,0.06,0,0,0.02,0,0.6023,-0.0016,0.0008,7
Mon Apr 18 2022,XSP220418C00423000,28.87,0,15.77,17.8,0,0,0.9984,0.0009,1,423.00,XSP220418P00423000,0.23,0,0,0.25,0,0.5716,-0.0016,0.0009,16
Mon Apr 18 2022,XSP220418C00424000,0,0,14.73,16.82,0,0,0.9982,0.001,0,424.00,XSP220418P00424000,0.39,0,0,0.25,0,0.5407,-0.0018,0.001,5
Mon Apr 18 2022,XSP220418C00425000,0,0,13.83,15.97,0,0,0.9981,0.0011,0,425.00,XSP220418P00425000,0.05,0,0,0.26,0,0.5097,-0.0019,0.0011,8
