
SPDR S&P 500 ETF Trust,Last: 438.85,Change:  1.06
"Date: 18 de abril de 2022, 12:48 GMT-4",Bid: 438.84,Ask: 438.86,Size: 7*10,Volume: 5.546.562
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Apr 18 2022,SPY220418C00389000,0,0,49.74,49.97,0,1.5874,0.9986,0.0003,0,389.00,SPY220418P00389000,0.02,0,0,0.01,0,1.431,-0.0014,0.0003,2483
Mon Apr 18 2022,SPY220418C00390000,55.98,0,48.74,48.98,0,1.4912,0.9986,0.0003,6,390.00,SPY220418P00390000,0.01,-0.005,0,0.01,4,1.4028,-0.0014,0.0003,3275
Mon Apr 18 2022,SPY220418C00391000,0,0,47.74,47.98,0,1.4616,0.9985,0.0003,0,391.00,SPY220418P00391000,0.02,0,0,0.01,0,1.3747,-0.0015,0.0003,1792
Mon Apr 18 2022,SPY220418C00392000,0,0,46.74,46.98,0,1.4954,0.9985,0.0003,0,392.00,SPY220418P00392000,0.05,0,0,0.01,0,1.3466,-0.0015,0.0003,292
Mon Apr 18 2022,SPY220418C00393000,0,0,45.74,45.98,0,1.4647,0.9984,0.0003,0,393.00,SPY220418P00393000,0.01,0,0,0.01,0,1.3185,-0.0016,0.0003,2270
Mon Apr 18 2022,SPY220418C00394000,44.47,-0.685,44.74,44.98,6,1.4342,0.9984,0.0003,0,394.00,SPY220418P00394000,0.02,0,0,0.01,0,1.2905,-0.0016,0.0003,348
Mon Apr 18 2022,SPY220418C00395000,47.35,0,43.74,43.98,0,1.4036,0.9983,0.0003,42,395.00,SPY220418P00395000,0.02,0,0,0.01,0,1.2624,-0.0017,0.0003,811
Mon Apr 18 2022,SPY220418C00396000,0,0,42.74,42.98,0,1.3731,0.9982,0.0004,0,396.00,SPY220418P00396000,0.02,0,0,0.01,0,1.2345,-0.0018,0.0004,745
Mon Apr 18 2022,SPY220418C00397000,0,0,41.74,41.98,0,1.3425,0.9982,0.0004,0,397.00,SPY220418P00397000,0.03,0,0,0.01,0,1.2065,-0.0018,0.0004,157
Mon Apr 18 2022,SPY220418C00398000,51.03,0,40.74,40.97,0,1.312,0.9981,0.0004,1,398.00,SPY220418P00398000,0.01,-0.015,0,0.01,3,1.1786,-0.0019,0.0004,82
Mon Apr 18 2022,SPY220418C00399000,0,0,39.74,39.97,0,1.2262,0.9981,0.0004,0,399.00,SPY220418P00399000,0.01,-0.015,0,0.01,3,1.1507,-0.0019,0.0004,586
Mon Apr 18 2022,SPY220418C00400000,39.36,0.205,38.74,38.98,2,1.2511,0.998,0.0004,90,400.00,SPY220418P00400000,0.01,-0.015,0,0.01,9,1.1228,-0.002,0.0004,2430
Mon Apr 18 2022,SPY220418C00401000,37.26,0,37.74,37.98,0,1.2207,0.9979,0.0005,1,401.00,SPY220418P00401000,0.01,-0.015,0,0.01,4,1.0949,-0.0021,0.0005,329
Mon Apr 18 2022,SPY220418C00402000,38.82,0,36.74,36.98,0,1.1902,0.9979,0.0005,3,402.00,SPY220418P00402000,0.03,0,0,0.01,0,1.0671,-0.0021,0.0005,1030
Mon Apr 18 2022,SPY220418C00403000,0,0,35.74,35.97,0,1.1966,0.9978,0.0005,0,403.00,SPY220418P00403000,0.03,0,0,0.01,0,1.0393,-0.0022,0.0005,108
Mon Apr 18 2022,SPY220418C00404000,0,0,34.74,34.98,0,1.1294,0.9977,0.0006,0,404.00,SPY220418P00404000,0.03,0,0,0.01,0,1.0115,-0.0023,0.0006,2183
Mon Apr 18 2022,SPY220418C00405000,38.09,0,33.74,33.98,0,1.099,0.9976,0.0006,13,405.00,SPY220418P00405000,0.01,-0.015,0,0.01,10,0.9837,-0.0024,0.0006,2411
Mon Apr 18 2022,SPY220418C00406000,50.42,0,32.74,32.98,0,1.0686,0.9975,0.0006,1,406.00,SPY220418P00406000,0.01,-0.015,0,0.01,1,0.9559,-0.0025,0.0006,1541
Mon Apr 18 2022,SPY220418C00407000,0,0,31.75,31.98,0,1.0988,0.9974,0.0007,0,407.00,SPY220418P00407000,0.04,0,0,0.01,0,0.9281,-0.0026,0.0007,281
Mon Apr 18 2022,SPY220418C00408000,35.1,0,30.72,30.99,0,1.0669,0.9974,0.0007,1,408.00,SPY220418P00408000,0.01,-0.015,0,0.01,8,0.9004,-0.0026,0.0007,930
Mon Apr 18 2022,SPY220418C00409000,29.51,-0.665,29.73,29.99,1,1.0092,0.9972,0.0008,6,409.00,SPY220418P00409000,0.05,0,0,0.01,0,0.8726,-0.0028,0.0008,856
Mon Apr 18 2022,SPY220418C00410000,28.5,-0.675,28.73,28.99,1,0.978,0.9971,0.0008,39,410.00,SPY220418P00410000,0.01,-0.025,0,0.01,2,0.8448,-0.0029,0.0008,1539
Mon Apr 18 2022,SPY220418C00411000,30.68,0,27.73,27.99,0,0.9467,0.997,0.0009,40,411.00,SPY220418P00411000,0.05,0,0,0.01,0,0.8171,-0.003,0.0009,1904
Mon Apr 18 2022,SPY220418C00412000,30.78,0,26.73,26.99,0,0.9392,0.9969,0.0009,9,412.00,SPY220418P00412000,0.02,-0.015,0,0.01,1,0.7893,-0.0031,0.0009,749
Mon Apr 18 2022,SPY220418C00413000,26.13,-0.055,25.72,26,1,0.9072,0.9968,0.001,3,413.00,SPY220418P00413000,0.01,-0.025,0,0.01,141,0.7615,-0.0032,0.001,1144
Mon Apr 18 2022,SPY220418C00414000,0,0,24.74,24.99,0,0.9409,0.9966,0.0011,0,414.00,SPY220418P00414000,0.01,-0.025,0,0.01,100,0.7337,-0.0034,0.0011,809
Mon Apr 18 2022,SPY220418C00415000,23.35,0,23.74,23.99,0,0.9195,0.9964,0.0012,15,415.00,SPY220418P00415000,0.01,-0.025,0,0.01,659,0.7059,-0.0036,0.0012,2484
Mon Apr 18 2022,SPY220418C00416000,0,0,22.72,22.99,0,0.8596,0.9963,0.0013,0,416.00,SPY220418P00416000,0.01,-0.035,0,0.01,210,0.6781,-0.0037,0.0013,1747
Mon Apr 18 2022,SPY220418C00417000,22,0,21.72,21.99,0,0.8258,0.9961,0.0014,3,417.00,SPY220418P00417000,0.01,-0.035,0,0.01,3175,0.6502,-0.0039,0.0014,1658
Mon Apr 18 2022,SPY220418C00418000,0,0,20.72,20.99,0,0.7785,0.9959,0.0015,0,418.00,SPY220418P00418000,0.01,-0.035,0,0.01,164,0.6224,-0.0041,0.0015,6583
Mon Apr 18 2022,SPY220418C00419000,0,0,19.74,19.98,0,0.745,0.9957,0.0016,0,419.00,SPY220418P00419000,0.01,-0.035,0.01,0.02,208,0.6655,-0.0043,0.0016,4418
Mon Apr 18 2022,SPY220418C00420000,19.05,0,18.74,18.98,0,0.7115,0.9954,0.0018,308,420.00,SPY220418P00420000,0.01,-0.045,0.01,0.02,196,0.6348,-0.0046,0.0018,3269
Mon Apr 18 2022,SPY220418C00421000,17.5,0,17.77,17.97,0,0.6901,0.9951,0.002,355,421.00,SPY220418P00421000,0.03,-0.025,0.01,0.02,12,0.604,-0.0049,0.002,1314
Mon Apr 18 2022,SPY220418C00422000,16.99,-0.205,16.77,16.97,5,0.6442,0.9948,0.0022,527,422.00,SPY220418P00422000,0.01,-0.045,0.01,0.02,64,0.5732,-0.0052,0.0022,1345
Mon Apr 18 2022,SPY220418C00423000,14.87,0,15.77,15.97,0,0.6103,0.9944,0.0025,195,423.00,SPY220418P00423000,0.01,-0.055,0.01,0.02,63,0.5422,-0.0056,0.0025,1651
Mon Apr 18 2022,SPY220418C00424000,15.07,0,14.77,14.98,0,0.587,0.9939,0.0029,45,424.00,SPY220418P00424000,0.02,-0.045,0.01,0.02,977,0.5112,-0.0061,0.0029,6176
Mon Apr 18 2022,SPY220418C00425000,12.87,0,13.77,13.98,0,0.5617,0.9932,0.0034,101,425.00,SPY220418P00425000,0.02,-0.055,0.01,0.02,269,0.48,-0.0068,0.0034,3751
Mon Apr 18 2022,SPY220418C00426000,12.42,0,12.78,12.97,0,0.5264,0.992,0.0041,144,426.00,SPY220418P00426000,0.02,-0.065,0.01,0.02,697,0.4487,-0.008,0.0041,3374
Mon Apr 18 2022,SPY220418C00427000,10.89,0,11.78,11.98,0,0.4908,0.9901,0.0052,131,427.00,SPY220418P00427000,0.01,-0.085,0.01,0.02,551,0.4172,-0.0099,0.0052,2171
Mon Apr 18 2022,SPY220418C00428000,10.74,-0.475,10.78,10.98,1,0.455,0.9867,0.0069,106,428.00,SPY220418P00428000,0.03,-0.085,0.02,0.03,2313,0.4124,-0.0133,0.0069,6251
Mon Apr 18 2022,SPY220418C00429000,9.49,-0.78,9.79,9.99,10,0.4259,0.981,0.0097,215,429.00,SPY220418P00429000,0.03,-0.115,0.03,0.04,2750,0.3978,-0.019,0.0097,11368
Mon Apr 18 2022,SPY220418C00430000,9.1,-0.23,8.81,9,40,0.4117,0.9716,0.0139,247,430.00,SPY220418P00430000,0.04,-0.145,0.04,0.05,4531,0.3773,-0.0284,0.0139,31022
